subject,path,app_type,repetition,energy_consumption,network_traffic,mean_cpu_load,mean_mem_usage,median_frame_time
soundcloud,soundcloud.com,web,25,607.3941599999999,8280372,45.55339805825243,1619217.854368932,8729279.0
youtube,youtube.com,web,1,692.4952800000001,26716816,42.437254901960785,1667099.294117647,26268016.0
youtube,youtube.com,web,2,683.1792,26761965,44.46601941747573,1682429.4854368933,27436103.0
youtube,youtube.com,web,3,683.1792,27684000,43.85,1712016.41,25421680.0
youtube,youtube.com,web,4,676.96848,8791087,43.32673267326733,1695283.603960396,42525146.0
youtube,youtube.com,web,5,683.1792,0,43.32673267326733,1676008.7425742573,16348038.0
youtube,youtube.com,web,6,685.4443200000001,25514998,43.28155339805825,1716235.922330097,34144304.0
youtube,youtube.com,web,7,681.6265199999999,25666309,43.332038834951454,1679120.854368932,27773690.0
youtube,youtube.com,web,8,680.07384,27325831,43.603960396039604,1656384.6831683167,34200355.0
youtube,youtube.com,web,9,669.2050800000001,25770289,42.3235294117647,1670983.7843137255,19541274.0
youtube,youtube.com,web,10,680.07384,30126158,43.549019607843135,1664106.7745098039,22169537.0
youtube,youtube.com,web,11,683.1792,26712301,43.27450980392157,1706094.7843137255,12224534.0
youtube,youtube.com,web,12,670.75776,28929987,43.98613861386139,1712848.9108910891,15433831.0
youtube,youtube.com,web,13,692.4952800000001,26166931,43.31683168316832,1703113.693069307,28424116.0
youtube,youtube.com,web,14,676.96848,32206731,43.16831683168317,1667155.9702970297,31226018.0
youtube,youtube.com,web,15,611.75592,27599615,42.83168316831683,1718288.603960396,24021457.0
youtube,youtube.com,web,16,650.57292,30119264,41.625,1675552.923076923,16704317.0
youtube,youtube.com,web,17,659.889,28224199,43.333333333333336,1712272.4747474748,14956384.0
youtube,youtube.com,web,18,680.07384,28457745,43.74,1677050.53,7287361.0
youtube,youtube.com,web,19,676.96848,26517636,42.90196078431372,1683523.5098039217,29401443.0
youtube,youtube.com,web,20,680.07384,36474864,43.817346938775515,1674474.8265306123,16492409.0
youtube,youtube.com,web,21,699.5934,27480723,32.5,1669581.0377358492,16750458.0
youtube,youtube.com,web,22,517.0424399999999,26872144,38.28431372549019,1676545.1176470588,23917653.0
youtube,youtube.com,web,23,673.86312,31041190,44.36274509803921,1683608.7843137255,25323404.0
youtube,youtube.com,web,24,672.31044,31706731,42.78217821782178,1665121.9900990098,20569995.0
youtube,youtube.com,web,25,670.75776,17879369,43.78095238095238,1680798.980952381,22466335.0
pinterest,com.pinterest,native,1,445.6944,82428927,17.20990099009901,287788.9900990099,6593994.0
pinterest,com.pinterest,native,2,361.30752,112012697,20.976190476190474,255747.9623015873,7853614.0
pinterest,com.pinterest,native,3,489.3501600000001,86683635,29.159274193548388,289261.77419354836,8352965.0
pinterest,com.pinterest,native,4,474.9948,128885488,23.084016393442624,294007.1618852459,8652534.0
pinterest,com.pinterest,native,5,503.02727999999996,84698516,12.032993890020366,290265.21181262727,7944110.0
pinterest,com.pinterest,native,6,455.80032,97423015,23.1479674796748,274627.73983739835,8167679.0
pinterest,com.pinterest,native,7,445.40496,96832020,31.661322645290582,284860.8096192385,7957474.0
pinterest,com.pinterest,native,8,436.0608,63715953,33.688741721854306,220840.00883002207,7665615.0
pinterest,com.pinterest,native,9,440.73288,59597969,37.35856573705179,284433.3326693227,6929154.0
pinterest,com.pinterest,native,10,434.74752,2046035,40.445807770961146,257612.9918200409,9333167.0
pinterest,com.pinterest,native,11,445.6944,82147317,26.043392504930967,271074.3550295858,7816233.0
pinterest,com.pinterest,native,12,465.65064,76710106,47.718106995884774,237528.17283950618,7641895.0
pinterest,com.pinterest,native,13,420.67295999999993,88078615,24.380081300813007,265655.6646341463,7553382.0
pinterest,com.pinterest,native,14,524.83032,109046057,30.97319587628866,288981.012371134,7645053.0
pinterest,com.pinterest,native,15,453.19176000000004,89107773,48.53629032258065,260462.125,8040254.0
pinterest,com.pinterest,native,16,391.80096000000003,95755807,39.252821670428894,269135.58690744924,10322419.0
pinterest,com.pinterest,native,17,445.71384000000006,104532453,32.803312629399585,280297.56935817807,7500120.0
pinterest,com.pinterest,native,18,444.1554,62412359,43.0,286678.8329896907,8050756.0
pinterest,com.pinterest,native,19,448.51968,98494992,35.491902834008094,226332.43522267207,11154779.0
pinterest,com.pinterest,native,20,438.62976000000003,60420736,16.204123711340205,294030.6412371134,6387138.0
pinterest,com.pinterest,native,21,485.45856000000003,59238767,16.204035874439462,212060.10986547085,7180621.0
pinterest,com.pinterest,native,22,400.24152,63037261,23.634,280668.944,7929285.0
pinterest,com.pinterest,native,23,303.8958,98398420,16.835952848722982,82531.11787819254,7078188.0
pinterest,com.pinterest,native,24,430.056,71958147,23.418891170431213,289314.6796714579,7519565.0
pinterest,com.pinterest,native,25,493.6831199999999,58349154,40.634730538922156,278689.15568862273,6943867.0
shopee,com.shopee.tw,native,1,462.53592,44662887,34.243961352657,405092.00483091787,12520679.0
shopee,com.shopee.tw,native,2,481.22424,26892851,36.41919191919192,425615.3181818182,12913325.0
shopee,com.shopee.tw,native,3,453.19176000000004,22801166,23.480099502487562,397109.0995024876,11676489.0
shopee,com.shopee.tw,native,4,464.09328,32832730,37.78199052132702,361111.06398104265,12344457.0
shopee,com.shopee.tw,native,5,436.0608,22078790,31.113475177304963,349623.41134751774,12693626.0
shopee,com.shopee.tw,native,6,465.65064,23572655,32.49367088607595,439414.16202531644,15853307.0
shopee,com.shopee.tw,native,7,453.19176000000004,14462106,28.20731707317073,387252.8243902439,13022038.0
shopee,com.shopee.tw,native,8,445.40496,19626530,41.906172839506176,394661.06172839506,12936007.0
shopee,com.shopee.tw,native,9,453.19176000000004,56455418,24.269689737470166,363941.63961813843,12997829.0
shopee,com.shopee.tw,native,10,484.33896000000004,24971241,29.872549019607842,404304.53921568627,13384919.0
shopee,com.shopee.tw,native,11,431.38872,27136192,34.48395061728395,422871.6740740741,12049578.0
shopee,com.shopee.tw,native,12,457.86384000000004,29797491,22.80871670702179,380878.9491525424,12309739.0
shopee,com.shopee.tw,native,13,468.76536000000004,13149235,27.519417475728154,386912.4708737864,13391674.0
shopee,com.shopee.tw,native,14,440.73288,18730620,22.58690176322418,404023.88916876575,12643719.0
